# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	512
#@/user_id	rime
a gan 	阿甘	c=1 d=0.865022 t=512
a la ke 	阿拉克	c=0 d=0.0606531 t=512
a la ke da fei ji 	阿拉克打飛機	c=1 d=0.609571 t=512
a lian 	阿聯	c=0 d=0.123758 t=512
a lian diao jie fa 	阿聯調節閥	c=1 d=0.618783 t=512
ai de jia 	埃德加	c=1 d=0.519442 t=512
an da fen 	安达芬	c=1 d=0.60976 t=512
an da fen jin 	安达芬金	c=1 d=0.557106 t=512
an jing 	安靜	c=1 d=0.596483 t=512
an jing da shi 	安靜大師	c=2 d=1.04997 t=512
an mo 	按摩	c=1 d=1 t=510
an shi dao jiao 	按時到校	c=1 d=0.522046 t=512
an zhuang 	安裝	c=12 d=3.58958 t=512
ao di fu kang 	奥迪扶康	c=0 d=0.0609571 t=512
ao di fu kang jiao ao de 	奥迪扶康驕傲的	c=1 d=0.612626 t=512
ao kang 	奧康	c=1 d=0.900325 t=512
bai du yun 	百度雲	c=1 d=0.196912 t=512
bai lun 	百伦	c=1 d=0.873716 t=512
bai sui 	百歲	c=1 d=0.946485 t=512
bao 	包	c=6 d=2.63555 t=512
ben di 	本地	c=1 d=0.357007 t=512
bian liang 	變量	c=1 d=0.522046 t=512
bie mai 	別買	c=1 d=0.687289 t=512
bing 	並	c=3 d=1.24944 t=512
bo ke 	博客	c=1 d=1 t=501
bu dui 	不對	c=1 d=0.225373 t=512
bu xian 	不嫌	c=1 d=0.980199 t=512
bu yi ding 	不一定	c=1 d=0.722527 t=512
bu zhou 	步驟	c=1 d=0.551563 t=512
cao 	操	c=1 d=1 t=485
cao zuo 	操作	c=2 d=1.13957 t=512
ce 	策	c=1 d=0.386741 t=512
ce bian 	側邊	c=1 d=0.900325 t=512
ce ping 	測評	c=1 d=0.647265 t=512
ce shi 	測試	c=1 d=0.50409 t=512
cha 	差	c=1 d=0.878095 t=512
cha zhao 	查找	c=1 d=0.814647 t=512
chan pin 	產品	c=2 d=0.55751 t=512
chang ming 	長命	c=1 d=0.941765 t=512
cheng 	成	c=1 d=0.748264 t=512
cheng 	程	c=2 d=0.553329 t=512
chi ma 	尺碼	c=1 d=0.882497 t=512
chong qi 	重啓	c=2 d=0.920649 t=512
chu chai 	出差	c=1 d=0.618783 t=512
chu li 	處理	c=1 d=0.242926 t=512
chu shi hua 	初始化	c=1 d=0.267135 t=512
chuang jian 	創建	c=6 d=2.08778 t=512
ci pan 	磁盤	c=1 d=0.822835 t=512
cun 	寸	c=2 d=1.5078 t=512
da 	大	c=1 d=0.99005 t=512
da fei ji 	打飛機	c=0 d=0.0606531 t=512
da jia 	大家	c=0 d=0.0522046 t=512
da ka ji 	打卡機	c=0 d=0.0603506 t=512
da la si 	達拉斯	c=0 d=0.0603506 t=512
da la si da ka ji de fang 	達拉斯打卡機地方	c=1 d=0.606531 t=512
da shi 	大師	c=0 d=0.050409 t=512
da shi dai 	大時代	c=0 d=0.0496585 t=512
da xiao 	大小	c=1 d=1 t=483
dai 	帶	c=1 d=0.923116 t=512
dai yu 	待遇	c=1 d=0.697676 t=512
dang ran 	當然	c=1 d=0.307279 t=512
dao ji shi 	倒計時	c=0 d=0.0522046 t=512
dao ji shi da jia 	倒計時大家	c=1 d=0.524663 t=512
de 	的	c=18 d=6.14756 t=512
de fang 	地方	c=1 d=0.80485 t=512
de fang kan 	地方看	c=1 d=0.494109 t=512
de fei shi fu jin 	得非施斧斤	c=0 d=0.057695 t=512
de fei shi fu jin lao shi kan feng jing 	得非施斧斤老師看風景	c=1 d=0.579842 t=512
deng ji kao shi 	等級考試	c=0 d=0.0537944 t=512
deng ji kao shi jiang dao li 	等級考試講道理	c=1 d=0.540641 t=512
di 	迪	c=1 d=0.83527 t=512
di san jie duan 	第三階段	c=1 d=0.514274 t=512
dian hua 	電話	c=1 d=0.264477 t=512
diao jie fa 	調節閥	c=0 d=0.11728 t=512
dou 	都	c=1 d=0.740818 t=512
dou yao 	都要	c=0 d=0.0697676 t=512
